company,city,state,jobtitle,industry,companysize,python,R,SAS,SQL,JAVA,Tableau,C,Perl,Excel,DeepLearning,MATLAB,StatisticalModeling,MachineLearning,HIVE
DayNine,Southwest, PA,Data Science Senior Analyst,Consulting,201-500,0,1,1,0,1,0,1,0,0,0,0,1,1,0
American Public University System,Charles Town, WV,"Dean, School of Science, Technology, Engineering, and Mathematics (STEM)",Colleges & Universities,201-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dell,Hopkinton, MA,"Advisor, Data Science",IT Services,10000+,1,1,1,1,0,1,0,0,0,0,0,0,0,0
UNC Health Care,Chapel Hill, NC,Director of Data Science and Analytics,Health Care Services & Hospitals,10000+,1,1,0,0,1,0,1,0,0,0,0,0,1,0
"Amazon Web Services, Inc.",Dallas, TX,Data Scientist,#N/A,10000+,1,0,0,0,1,0,1,0,0,0,0,0,1,0
The Broad Institute,Cambridge, MA,Associate Computational Biologist II - Data Science,Biotech & Pharmaceuticals,501-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA Technologies,San Diego, CA,Data Scientist,Computer Hardware & Software,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardinal Solutions,Cincinnati, OH,Data Scientist,IT Services,201-500,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Duke Energy Corporation,Charlotte, NC,Associate Data Science Consultant,Energy,10000+,1,1,1,1,0,1,0,0,0,0,0,1,1,0
Change Healthcare,Emeryville, CA,"Data Engineer, Data Sciences",Health Care Services & Hospitals,10000+,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Grubhub,Chicago, IL,Data Science Manager,Internet,1001-5000,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Facebook,Menlo Park, CA,"Data Engineer, Analytics - Intern",Internet,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC-One,Darlington, SC,Data Science Analyst,Health Care Services & Hospitals,5001-10000,1,1,1,1,0,0,0,0,0,0,0,1,1,0
ZestFinance,Los Angeles, CA,Data Science Internship - Summer,Financial Analytics & Research,51-200,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LendingClub,San Francisco, CA,Principal Data Scientist,Banks & Credit Unions,1001-5000,1,1,1,1,0,0,0,0,0,0,0,0,1,0
L&T Infotech,San Jose, CA,Data Science consultants,IT Services,10000+,0,1,1,0,0,0,0,0,0,0,0,0,0,0
HomeAway,Austin, TX,Data Scientist II: Yield Optimization,Internet,1001-5000,1,1,0,0,0,1,1,0,0,1,0,0,1,0
Stanley Black & Decker,New Britain, CT,Data Scientist,Industrial Manufacturing,10000+,1,1,1,1,1,0,0,0,0,0,1,0,1,1
iRobot Corporation,Bedford, MA,Data Science Intern,Consumer Electronics & Appliances Stores,501-1000,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dixons Carphone,Acton, MA,Insight Analyst - Data Science,Media & Entertainment Retail Stores,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAE Systems,Reston, VA,Data Scientist,Aerospace & Defense,10000+,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"MINDBODY, Inc",San Diego, CA,Data Warehouse Engineer,Computer Hardware & Software,1001-5000,1,0,0,1,1,0,1,0,0,0,0,0,0,1
springML,Pleasanton, CA,Data Analyst,Enterprise Software & Network Solutions,1-50,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Adobe,New York, NY,Data Science Associate,Computer Hardware & Software,10000+,1,0,0,1,0,1,1,0,0,0,0,0,0,1
CCC Information Services,Chicago, IL,"Business Engineer, Data Science",Enterprise Software & Network Solutions,1001-5000,1,1,0,1,0,0,0,0,0,0,0,0,1,0
SapientRazorfish,Detroit, MI,"Senior Associate, Data Science & Analytics",Enterprise Software & Network Solutions,10000+,1,1,1,1,1,0,0,0,0,0,0,0,1,0
NBC Universal,New York, NY,"Manager, Data Science & Analytics",TV Broadcast & Cable Networks,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DayNine,Northeast, NY,Data Science Specialist,Consulting,201-500,0,1,1,0,1,0,1,0,0,0,0,0,1,0
Mist Systems,Cupertino, CA,Data Scientist,#N/A,1-50,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Clover Global Solutions LP,United States Air Force Acad, CO,Data Science Specialist,Consulting,201-500,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Hartford,Charlotte, NC,"Internship, Data Science Initiative",Insurance Carriers,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inmar,WinstonSalem, NC,Data Visualization Engineer,IT Services,1001-5000,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Citadel,Chicago, IL,Data Engineer,Investment Banking & Asset Management,1001-5000,1,1,0,0,0,0,1,0,0,0,0,0,1,0
CDW,Lincolnshire, IL,Data Science Manager,Computer Hardware & Software,5001-10000,1,1,0,0,1,0,1,0,0,0,1,0,0,0
Chartboost,San Francisco, CA,QA Automation Engineer - Data,Internet,51-200,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Hired by Matrix, Inc.",Union, NJ,Data Scientist,Staffing & Outsourcing,201-500,0,0,1,1,0,0,0,0,0,1,0,0,1,0
"Evolent Health, Inc.",Arlington, VA,"Associate Director, Data Science",Health Care Services & Hospitals,1001-5000,1,1,1,1,0,0,0,0,0,0,0,0,0,0
PresenceLearning,San Francisco, CA,"Sr. Backend Engineer, Data Systems",K-12 Education,51-200,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PETCO,San Diego, CA,Data Science Analyst,Pet & Pet Supplies Stores,10000+,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Johnson & Johnson,New Jersey,#N/A,"Scientist, Data Sciences",Biotech & Pharmaceuticals,10000+,1,1,1,0,1,0,1,1,0,0,1,0,1,0
Johnson & Johnson,Washington State,#N/A,"Scientist, Data Sciences",Biotech & Pharmaceuticals,10000+,1,1,1,0,1,0,1,1,0,0,1,0,1,0
EdisonLearning,United States,#N/A,Science Teacher,Education Training Services,501-1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eliassen Group,Chantilly, VA,Data Modeler/Data Management Engineer,Staffing & Outsourcing,1001-5000,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Facebook,Menlo Park, CA,"Data Science Manager, Analytics",Internet,10000+,0,1,1,1,0,0,0,0,0,0,1,0,0,1
PeopleAdmin,Shawnee, KS,Data Engineer,K-12 Education,201-500,1,0,0,1,0,0,0,0,0,0,0,0,0,0
InVentiv Health,Baltimore, MD,Mid-Atlantic Medical Science Liaison,Health Care Services & Hospitals,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PetCo,San Diego, CA,Data Science Analyst,Pet & Pet Supplies Stores,10000+,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Alliance Data,Atlanta, GA,Director of Data Science,Advertising & Marketing,10000+,1,1,0,1,1,0,0,0,0,0,0,0,1,0
SAP,Palo Alto, CA,Principal Data Scientist - SAP Innovative Business Solutions,Computer Hardware & Software,10000+,0,0,0,1,1,0,1,0,1,0,1,0,0,0
Amgen,Thousand Oaks, CA,Medical Sciences Medical Director Early Development - Internal Medicine,Biotech & Pharmaceuticals,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WellCare,Tampa, FL,Data Scientist,Insurance Carriers,5001-10000,1,1,1,1,1,1,1,0,0,1,0,0,1,0
PeopleNTech,Atlanta, GA,Data Science Architect,IT Services,1-50,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"Evolent Health, Inc.",Chicago, IL,"Senior Analyst, Data Science",Health Care Services & Hospitals,1001-5000,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Corning,Corning, NY,"Data Science Manager, Analytics",Electrical & Electronic Manufacturing,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Group,Los Angeles, CA,Data Science Senior Manager,Investment Banking & Asset Management,5001-10000,1,1,0,0,1,0,1,1,0,0,0,1,1,0
Freddie Mac,McLean, VA,Senior Business Analyst (Data),Investment Banking & Asset Management,5001-10000,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Virginia Tech,Blacksburg, VA,Data Science Post doctoral Associate,Colleges & Universities,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultimate Software,United States,#N/A,DATA SCIENTIST,Enterprise Software & Network Solutions,1001-5000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Lifespan,Providence, RI,Data Analyst,Health Care Services & Hospitals,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merck & Co., Inc.",Austin, TX,Data Science Specialist,Health Care Services & Hospitals,10000+,1,1,1,0,1,1,0,0,0,0,1,0,0,0
Collabera,Tampa, FL,Data Science Manager (Statistics),IT Services,10000+,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Automated Insights,Durham, NC,Data Science Intern,Computer Hardware & Software,51-200,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Capital One,New York, NY,Data Science Manager,Banks & Credit Unions,10000+,1,1,0,0,0,1,0,0,0,0,0,1,1,0
Dentsu Aegis Network,New York, NY,Data Science Manager,Publishing,5001-10000,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Conversant,Chicago, IL,"Director, Data Science",Advertising & Marketing,1001-5000,1,1,0,1,1,0,0,0,0,0,0,0,1,0
Facebook,New York, NY,"Data Science Manager, Analytics (NYC)",Internet,10000+,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Nexus IT Group,Kansas City, MO,Data Scientist,Staffing & Outsourcing,1-50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchasing Power,Atlanta, GA,Data Analyst,Financial Transaction Processing,201-500,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Schneider Electric,Andover, MA,Data Science Intern - Summer,Energy,10000+,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Sevatec,Fairfax, VA,Solutions Architect - Data Science,Consulting,201-500,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Quantum Reservoir Impact,Houston, TX,Data Scientist,Oil & Gas Services,51-200,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Starpoint Solutions,Los Angeles, CA,Director of Data Science,Staffing & Outsourcing,501-1000,1,1,0,0,1,1,1,0,0,0,0,0,1,0
"Micron Technology, Inc.",Boise, ID,Intern - Enterprise Data Science,Electrical & Electronic Manufacturing,10000+,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Capital Group,Irvine, CA,Data Sciences Manager,Investment Banking & Asset Management,5001-10000,1,1,0,1,0,1,0,1,1,0,0,0,1,0
Relevante,Madison, WI,Data Science & Analytics Director,Consulting,51-200,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Acxiom,Little Rock, AR,Sr. Enterprise Data Sales Exec,IT Services,1001-5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acxiom,Redwood City, CA,Sr. Enterprise Data Sales Exec,IT Services,1001-5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acxiom,Conway, AR,Sr. Enterprise Data Sales Exec,IT Services,1001-5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Microsoft,Redmond, WA,Data Science Lead,Computer Hardware & Software,10000+,1,1,0,1,0,0,0,0,0,0,0,0,1,1
KPMG US,Seattle, WA,Data Scientist,Accounting,10000+,1,1,1,1,1,0,0,0,0,0,1,1,1,1
TalentBurst,Sunnyvale, CA,Data Scientist,IT Services,51-200,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Uber,San Francisco, CA,Data Science Manager - Advanced Analytics,Computer Hardware & Software,10000+,1,1,0,1,0,0,0,0,1,0,0,0,1,0
Santen Inc,Emeryville, CA,"Senior Medical Science Liaison ~ Ophthalmology, (West Coast)",Biotech & Pharmaceuticals,51-200,0,1,0,0,0,0,0,0,1,0,0,0,0,0
IBM,New York, NY,Data Science Manager,#N/A,10000+,1,1,1,1,0,1,0,0,1,0,0,1,1,1
Nielsen,Columbia, MD,Data Scientist,#N/A,10000+,1,1,1,1,1,1,0,0,1,0,0,0,1,0
Eaze Solutions,San Francisco, CA,Data Scientist,Internet,51-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adtalem Global Education,Downers Grove, IL,Data Science Solutions Architect,Colleges & Universities,5001-10000,1,0,0,1,1,0,1,0,0,0,0,0,1,1
Foundation Medicine,Cambridge, MA,Clinical Data Associate,Biotech & Pharmaceuticals,501-1000,0,0,0,1,0,0,0,0,1,0,0,0,0,0
OnDeck,New York, NY,Product Manager Data and Decisions Strategy,Lending,201-500,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Aircell,Chicago, IL,Data Science Engineer,Telecommunications Services,201-500,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Smith Hanley Associates,New York, NY,Senior Data Scientist,Staffing & Outsourcing,1-50,1,1,1,1,0,0,0,0,0,0,0,0,1,1
Conagra Brands,Chicago, IL,Senior Director Data Science,Food & Beverage Manufacturing,10000+,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Booz Allen Hamilton Inc.,McLean, VA,"Data Science Analyst, Senior",Consulting,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starpoint Solutions,New York, NY,Senior Data Science and Analytics.,Staffing & Outsourcing,501-1000,1,0,0,0,0,1,1,0,1,0,0,0,1,0
Visible Alpha Solutions,New York, NY,Data Scientist,#N/A,51-200,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Averity,New York, NY,Data Scientist,Staffing & Outsourcing,1-50,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Praxis Engineering,Reston, VA,Data Scientist,Computer Hardware & Software,201-500,1,1,1,1,1,1,1,1,0,0,1,0,1,1
Associated Banc-Corp,Green Bay, WI,Data Architect,Banks & Credit Unions,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edifecs,Bellevue, WA,Data Science Intern,Computer Hardware & Software,201-500,1,1,0,0,1,1,1,0,0,0,0,0,1,0
Apple,Santa Clara, CA,Siri Realtime Data Science Engineer,Computer Hardware & Software,10000+,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Activehours,Palo Alto, CA,Data Scientist,IT Services,1-50,1,1,0,1,0,0,0,0,0,1,0,0,1,0
Medidata Solutions,San Francisco, CA,"Senior Data Engineer, Data Science",Enterprise Software & Network Solutions,1001-5000,1,1,0,0,1,0,0,0,0,0,0,0,1,1
Sony PlayStation,San Diego, CA,Data Scientist (mid-level),Video Games,5001-10000,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Visionist, Inc.",Columbia, MD,Data Scientist,Enterprise Software & Network Solutions,51-200,1,1,0,0,1,1,0,0,0,1,0,0,1,0
Uber,San Francisco, CA,Data Science - Marketplace Optimization,Computer Hardware & Software,10000+,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Auburn University,Auburn, AL,Assistant Professor - Data Science (Statistics),#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Connections Academy,Mason, OH,"Middle School Science Teacher, 2017-2018 School Year",K-12 Education,501-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Cross and Blue Shield of North Carolina,Greensboro, NC,Senior Data Engineer,#N/A,#N/A,1,1,0,1,0,1,0,0,1,0,0,0,0,1
Blue Cross and Blue Shield of North Carolina,Charlotte, NC,Senior Data Engineer,#N/A,#N/A,1,1,0,1,0,1,0,0,1,0,0,0,0,1
TextRecruit,San Jose, CA,Data Scientist,Enterprise Software & Network Solutions,1-50,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DigitalOcean,New York, NY,Senior Data Scientist,IT Services,201-500,1,1,0,0,0,0,0,0,0,0,1,1,1,0
DataRobot,Boston, MA,Data Science Evangelist,IT Services,51-200,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Comcast Spotlight,Philadelphia, PA,"Director, Data Science Integration",Advertising & Marketing,1001-5000,1,1,1,1,0,0,0,0,0,0,0,0,1,0
Dell,Austin, TX,Data Scientist,IT Services,10000+,1,1,0,1,0,1,0,0,1,0,0,0,0,0
SignalFx,San Mateo, CA,Data Scientist,Enterprise Software & Network Solutions,1-50,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Starpoint Solutions,New York, NY,Senior Data Science and Analytics.,Staffing & Outsourcing,501-1000,1,1,0,1,0,1,1,0,1,0,0,0,1,0
Conversant Media,Chicago, IL,"Senior Director, Data Science",#N/A,1-50,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Red Ventures,Charlotte, NC,Data Scientist,#N/A,#N/A,1,1,0,0,1,0,1,0,0,0,1,0,1,1
Sony Pictures Entertainment Inc.,Culver City, CA,"Director, Data Science and Business Intelligence",Motion Picture Production & Distribution,5001-10000,1,1,0,1,1,0,0,0,1,0,0,1,1,1
Connections Academy,Iowa,#N/A,"Secondary Science Teacher, 2017-2018 School Year",K-12 Education,501-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connections Academy,Anita, IA,"Secondary Science Teacher, 2017-2018 School Year",K-12 Education,501-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia Tech Research Institute,Atlanta, GA,"Machine Learning, Data Science, and/or Computer Vision Researcher (Senior) - ATAS",Research & Development,1001-5000,1,0,0,0,0,0,1,0,0,1,1,0,1,0
SparkCognition,Austin, TX,Data Science Director,Enterprise Software & Network Solutions,51-200,1,1,0,1,1,0,1,0,0,0,0,0,1,0
Mosaic ATM,Leesburg, VA,Data Scientist,Transportation Management,1-50,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Relevante,Madison, WI,Data Science Manager,Consulting,51-200,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Tetra Tech,Oklahoma City, OK,Data Architect / Scientist,Architectural & Engineering Services,10000+,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Ovative/group,Minneapolis, MN,"manager, data science",Advertising & Marketing,51-200,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Brown University,Providence, RI,Data Science Associate,Colleges & Universities,501-1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Merck,Austin, TX,Data Science Specialist,Health Care Services & Hospitals,10000+,1,1,1,0,1,1,0,0,0,0,1,0,0,0
shopkick,Redwood City, CA,Director of Data,Advertising & Marketing,51-200,1,1,0,1,0,1,0,0,0,0,1,0,1,1
Kemper,Chicago, IL,"AVP, Data Science",Insurance Carriers,5001-10000,1,1,1,0,1,0,1,0,0,0,0,0,0,0
Ancestry,San Francisco, CA,Senior Product Analyst (Data Science),Computer Hardware & Software,1001-5000,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Saama Technologies Inc,United States,#N/A,Hadoop Big Data Architect (Insurance Domain - Policy),IT Services,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tavant Technologies Inc,Santa Clara, CA,Data Scientist,IT Services,1001-5000,0,1,1,0,0,0,0,0,0,0,0,0,1,0
E*TRADE Financial,Menlo Park, CA,"Principal, Data Science and Engineering",Brokerage Services,1001-5000,0,0,0,0,0,0,0,0,0,0,0,1,1,0
HP Inc,Boise, ID,Data Science Internship,Computer Hardware & Software,10000+,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Johns Hopkins University Applied Physics Laboratory,Laurel, MD,Data Scientist,Aerospace & Defense,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fooda,Chicago, IL,Data Scientist,IT Services,1-50,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Merck,Austin, TX,Data Science Associate Specialist,Health Care Services & Hospitals,10000+,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Avenue Code,San Francisco, CA,Data Engineer,Internet,201-500,1,0,0,1,1,0,0,0,0,0,0,0,1,1
Google,Kirkland, WA,"Product Analyst, Data Science",Internet,10000+,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Aetna,New York, NY,Data Science Analyst,Insurance Carriers,10000+,1,0,1,1,0,1,0,0,0,0,0,0,1,1
Newsela,New York, NY,Data Scientist,Internet,51-200,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Kespry Inc.,Menlo Park, CA,Data Scientist,Computer Hardware & Software,51-200,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Sprint,Overland Park, KS,Manager Data Science,Telecommunications Services,10000+,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Smith & Nephew,Memphis, TN,Global Data Sciences Manager,Health Care Products Manufacturing,10000+,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Worcester Polytech,Worcester, MA,Adjunct Faculty-Data Science,Colleges & Universities,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Monsanto,San Diego, CA,Scientific Software/Data Science Intern,Food Production,10000+,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Databricks,San Francisco, CA,Senior Data Science Instructor,Computer Hardware & Software,51-200,0,1,0,0,0,0,0,0,0,0,0,0,1,0
The Mark Travel Corporation,Milwaukee, WI,Business Intelligence - Data Engineer,Travel Agencies,501-1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Workday,Pleasanton, CA,Security Data Science Engineer,Computer Hardware & Software,5001-10000,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Age of Learning,Glendale, CA,Science Curriculum Specialist,K-12 Education,501-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Ventures,Charlotte, NC,Data Scientist,Advertising & Marketing,1001-5000,1,1,0,0,1,0,1,0,0,0,1,0,1,1
Invincea,Arlington, VA,Research Director - Data Science,Computer Hardware & Software,51-200,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Johnson Controls Inc,Milwaukee, WI,Director - Data Sciences Product Development,Industrial Manufacturing,10000+,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Amazon,Cambridge, MA,"Manager, Principal ML Data Science",#N/A,10000+,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Workday,Pleasanton, CA,Senior Security Data Science Engineer,Computer Hardware & Software,5001-10000,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Massachusetts General Hospital,Boston, MA,"Core Software Developer, Center for Clinical Data Science",Health Care Services & Hospitals,10000+,1,0,0,1,0,0,1,0,0,0,0,0,1,0
Sanofi U.S.,Cambridge, MA,Head Data Engineering & Science,Biotech & Pharmaceuticals,5001-10000,1,0,0,0,1,0,0,0,0,0,0,0,1,1
BookBub,Cambridge, MA,Data Analyst,Internet,51-200,0,0,0,1,0,0,0,0,1,0,0,0,0,0
InfoObjects,Santa Clara, CA,Data Scientist,IT Services,201-500,1,1,0,1,0,1,0,0,1,0,0,0,0,1
Pharmacyclics,Sunnyvale, CA,"Medical Science Liaison, North and South Carolina",Biotech & Pharmaceuticals,501-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conexess Group, LLC",Northville, MI,Data Scientist,Accounting,51-200,1,0,0,0,1,0,0,0,0,0,0,0,1,0
North Carolina Office of State Human Resources,Alexander, NC,"Manager, Analytics and Data Science",State & Regional Agencies,10000+,0,0,1,0,0,0,1,0,0,0,0,0,1,0
L.A. Care Health Plan,Los Angeles, CA,"Director, Enterprise Data and Analytics Solutions",Health Care Services & Hospitals,1001-5000,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"View, Inc.",Milpitas, CA,Data Scientist,Consumer Products Manufacturing,51-200,1,1,0,1,1,0,1,0,0,0,1,0,1,1
Edelman Financial Services,United States,#N/A,Marketing Data Analyst Intern,Brokerage Services,501-1000,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Capital One,Vienna, VA,Scrum Master (Data Science/Data Analytics),Banks & Credit Unions,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManTech,Alexandria, VA,Data Scientist,IT Services,5001-10000,1,1,0,0,1,0,0,0,0,0,1,1,1,1
Groupon,Chicago, IL,Data Scientist,Internet,5001-10000,1,1,0,1,0,0,0,0,0,0,0,0,1,1
Mattel,El Segundo, CA,Data Scientist,Consumer Products Manufacturing,10000+,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Instinet,San Francisco, CA,Data Scientist,Brokerage Services,501-1000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BANDAI NAMCO Entertainment,San Jose, CA,Data Scientist,Sports & Recreation,51-200,1,1,0,1,1,1,0,0,0,0,1,0,1,1
Crescent Solutions,Las Vegas, NV,Data Scientist,Staffing & Outsourcing,201-500,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Vizient,Chicago, IL,Data Scientist,Health Care Services & Hospitals,1001-5000,1,1,1,0,0,0,0,0,0,0,0,0,1,0
BAE Systems,Washington, DC,Data Scientist,Aerospace & Defense,10000+,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Organogenesis,Canton, MA,Medical Science Liaison NEOther,Biotech & Pharmaceuticals,501-1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BeyondCurious,Los Angeles, CA,Director of Data Science,Advertising & Marketing,1-50,1,1,0,0,1,1,1,0,0,0,0,0,1,0
AbbVie,Redwood City, CA,Data Science Program Lead,Biotech & Pharmaceuticals,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Dynamics Ordnance and Tactical Systems,Springfield, VA,Data Scientist,Aerospace & Defense,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarity Insights,United States,#N/A,Data Scientist - Principal,IT Services,201-500,1,1,1,1,0,1,0,0,0,0,0,0,1,0
Polaris Industries,Minneapolis, MN,Data Scientist,Transportation Equipment Manufacturing,5001-10000,0,1,0,0,0,1,0,0,0,0,0,0,0,0
LendUp,San Francisco, CA,"Director, Data Science",Lending,201-500,1,1,0,1,1,0,0,0,0,0,0,0,1,0
SAP,Bellevue, WA,iXp Intern - Data Science,Computer Hardware & Software,10000+,1,0,0,1,1,0,1,0,0,0,0,0,1,0
EMC,Hopkinton, MA,"Advisor, Data Science",IT Services,10000+,1,1,1,1,0,1,0,0,0,0,0,0,0,0
American Airlines,Fort Worth, TX,"Analyst, Data Science/Operations Research",Airlines,10000+,1,1,1,1,0,0,0,0,0,0,0,0,1,0
Booz Allen Hamilton,McLean, VA,Data Science / Engineering Modeler,Consulting,10000+,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Ford Motor Company US,Dearborn, MI,Data Scientist,Transportation Equipment Manufacturing,10000+,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Oshkosh Defense,Oshkosh, WI,PROJECT COORDINATOR - DATA SCIENCE,Transportation Equipment Manufacturing,10000+,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Raytheon,Dulles, VA,Data Architect,Aerospace & Defense,10000+,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Groupon,Palo Alto, CA,"Data Science Intern, Summer",Internet,5001-10000,1,1,0,1,1,0,1,0,0,0,0,0,1,0
J.P. Morgan,Wilmington, DE,Head of Data Insights & Data Science,Investment Banking & Asset Management,10000+,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OSRAM,Beverly, MA,Data Science Intern,Electrical & Electronic Manufacturing,10000+,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Honeywell,Morris Plains, NJ,Analytics & Data Science Lead,Computer Hardware & Software,10000+,1,1,0,1,0,1,0,0,0,0,0,0,0,0
John Deere,Moline, IL,Data Scientist,Industrial Manufacturing,10000+,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Richmond, VA,Data Science Management Associate,Banks & Credit Unions,10000+,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Duke Clinical Research Institute,Durham, NC,Manager-Clinical Data Mgt,Research & Development,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarGurus,Cambridge, MA,Data Scientist,Internet,201-500,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Booz Allen Hamilton,McLean, VA,Director of Data Science,Consulting,10000+,0,0,0,0,0,0,0,0,0,1,0,0,0,0
