company,city,state,jobtitle,industry,companysize,python,R,SAS,SQL,JAVA,Tableau,C,Perl,Excel,DeepLearning,MATLAB,StatisticalModeling,MachineLearning,HIVE
"PKW Associates, Inc",Windsor Mill, MD,Data Scientist,#N/A,1-50,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Qventus,Mountain View, CA,Data Scientist,Enterprise Software & Network Solutions,1-50,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Smith Hanley Associates,New York, NY,Manager of Data Science,Staffing & Outsourcing,1-50,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Tendril,Boulder, CO,Data Scientist,Utilities,51-200,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Treselle Systems,Campbell, CA,Data Scientist,#N/A,51-200,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Eversight, Inc.",Palo Alto, CA,Data Scientist,Computer Hardware & Software,51-200,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Smith Hanley Associates,Philadelphia, PA,"Vice President, Data Science",Staffing & Outsourcing,1-50,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oscar Insurance,New York, NY,Data Scientist,Insurance Agencies & Brokerages,201-500,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Dia&Co,New York, NY,Data Scientist,Other Retail Stores,51-200,1,1,0,1,0,0,0,0,0,0,1,0,0,0
Adobe,San Jose, CA,Big Data & Data Science Intern,Computer Hardware & Software,10000+,1,1,0,0,0,1,0,0,0,0,1,1,1,1
Lands' End,Dodgeville, WI,"Director, Data Science","Department, Clothing, & Shoe Stores",5001-10000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cisco Systems,San Jose, CA,Data Scientist,Computer Hardware & Software,10000+,1,1,0,1,1,0,1,0,0,0,0,0,1,0
Suntiva,Falls Church, VA,Data Scientist,Federal Agencies,51-200,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Amazon,Seattle, WA,Data Scientist,#N/A,10000+,1,1,0,1,1,0,1,0,0,1,0,0,0,1
Smith Hanley Associates,Madison, WI,Director of Data Science,Staffing & Outsourcing,1-50,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Smith Hanley Associates,Austin, TX,Life Actuary - Data Science,Staffing & Outsourcing,1-50,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Smith Hanley Associates,Newark, NJ,Data Analyst,Staffing & Outsourcing,1-50,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Facebook,Menlo Park, CA,"Data Scientist, Analytics, Intern",Internet,10000+,1,1,0,1,1,0,1,1,1,0,1,0,0,0
